capture_id,season,site,roll,capture,capture_date_local,capture_time_local,zooniverse_url_0,zooniverse_url_1,zooniverse_url_2,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_visible,p_users_identified_this_species,pielous_evenness_index
APN_S1#JJ5#1#179,APN_S1,JJ5,1,179,2017-07-22,1:42:50,https://panoptes-uploads.zooniverse.org/production/subject_location/0b5f1-0dc73-0e49a-16e94-0b7f9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/10b9d-1373f-180c5-07218-0a9c0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a2e6-05208-06546-02d1b-17d44.jpeg,17103328,hyenaspotted,5,4,4,0.75,0,0.4,0.1,0.05,0.4,NA,1,0
APN_S1#U63c#1#47,APN_S1,U63c,1,47,2017-07-22,0:56:53,https://panoptes-uploads.zooniverse.org/production/subject_location/18603-12e08-0847e-0bb66-0667b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/160a0-17f05-0750c-08db3-07190.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/13559-0f388-0285d-0caed-15dd4.jpeg,17755685,hare,5,4,4,0.6,0,0.7,0.05,0.2,0.65,NA,1,0
APN_S1#N5#2#63,APN_S1,N5,2,63,2017-07-22,18:09:44,https://panoptes-uploads.zooniverse.org/production/subject_location/09add-13d27-1586a-067c9-0e3b0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/168aa-0a828-032c0-1373f-09293.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/04b41-099d2-146e5-05154-123a6.jpeg,17434628,impala,4,3,2,0.24,0,0.65,0.76,0,0.06,NA,0.89,0.6
APN_S1#N3#1#53,APN_S1,N3,1,53,2017-07-22,16:53:46,https://panoptes-uploads.zooniverse.org/production/subject_location/0b790-0b861-09168-15ef4-0da67.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0311e-08b07-0f371-0be8a-157fb.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0caed-0fc35-0e845-12ac6-05607.jpeg,17714754,kudu,6,6,5,0.07,0,0.43,0.71,0.07,0,NA,0.78,0.55
APN_S1#K014#1#114,APN_S1,K014,1,114,2017-07-24,15:03:24,https://panoptes-uploads.zooniverse.org/production/subject_location/14776-09aa9-0e14e-13c34-04d21.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a828-146ad-0aff8-180c5-0eb5f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/12b40-0a1c9-0794b-12b40-0bd1e.jpeg,17809269,steenbok,5,5,4,0.2,0,0.73,0.87,0,0.07,0,0.79,0.58
APN_S1#JJ5#1#136,APN_S1,JJ5,1,136,2017-07-24,12:31:51,https://panoptes-uploads.zooniverse.org/production/subject_location/09aa9-06009-0962b-16a2a-12538.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/032c0-08144-180ee-0e581-10105.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/16d18-05ac3-048a8-17d44-16735.jpeg,17125779,zebraburchells,3,2,2,0,0,1,0,0,0,0,0.68,0.65
APN_S1#K021#1#107,APN_S1,K021,1,107,2017-07-24,14:21:28,https://panoptes-uploads.zooniverse.org/production/subject_location/04698-0641e-14776-166e4-0532a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e4f6-07190-168aa-06f15-17ba7.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/09b28-02ab4-0446c-0e8e6-057ce.jpeg,17577619,impala,1,1,1,0.06,0,0.41,0.71,0,0,0,0.94,0.31
APN_S1#JJP#2#43,APN_S1,JJP,2,43,2017-07-24,18:44:42,https://panoptes-uploads.zooniverse.org/production/subject_location/0c740-17a2b-13552-05865-18603.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/09293-0a3dd-183ff-07fe2-11eba.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0eccd-11e1c-17416-13ab0-13559.jpeg,17455891,impala,4,4,2,0.05,0,1,0.05,0,0.5,NA,1,0
APN_S1#UMH9#1#14,APN_S1,UMH9,1,14,2017-07-24,4:21:11,https://panoptes-uploads.zooniverse.org/production/subject_location/08a2e-13552-128ec-0667b-1640f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/17cf3-160a0-04b3a-07c9f-087dc.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0f7ea-038b4-053f9-07929-11744.jpeg,17603971,impala,1,1,1,0.65,0,0.3,0.05,0,0.05,NA,1,0
APN_S1#KUMH#2#317,APN_S1,KUMH,2,317,2017-07-25,14:06:57,https://panoptes-uploads.zooniverse.org/production/subject_location/08f79-1172c-0e3aa-0e3aa-03b2b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0964f-0b6c6-12a2d-093b7-0d2be.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0794b-17d44-0f388-053f9-1382f.jpeg,17307295,impala,1,1,1,0.65,0,0.1,0.4,0,0,NA,1,0
